,stop_name,direction_id,service_date_day,delay_time,month,Temp_Avg,Precipitation,Day_of_Week,slow_day_flag
239,Assembly,0,2020-08-27,100.0,8,63.0,0.18,3,0
240,Assembly,0,2020-08-28,101.0,8,71.5,0.0,4,0
241,Assembly,0,2020-08-29,99.0,8,70.5,0.07,5,1
242,Assembly,0,2020-08-30,98.0,8,70.0,0.0,6,0
243,Assembly,0,2020-08-31,101.0,8,64.5,0.0,0,0
244,Assembly,0,2020-09-01,100.0,9,65.5,0.0,1,0
245,Assembly,0,2020-09-02,103.0,9,66.5,0.2,2,1
246,Assembly,0,2020-09-03,103.0,9,71.5,0.01,3,1
247,Assembly,0,2020-09-04,102.0,9,76.5,0.0,4,1
248,Assembly,0,2020-09-05,99.0,9,69.5,0.0,5,1
249,Assembly,0,2020-09-06,99.0,9,70.5,0.0,6,0
250,Assembly,0,2020-09-07,101.0,9,72.0,0.0,0,0
251,Assembly,0,2020-09-08,102.0,9,70.0,0.0,1,0
252,Assembly,0,2020-09-09,100.0,9,70.0,0.0,2,0
253,Assembly,0,2020-09-10,101.0,9,75.0,0.25,3,0
254,Assembly,0,2020-09-11,101.0,9,65.5,0.0,4,0
255,Assembly,0,2020-09-12,100.0,9,60.0,0.0,5,0
256,Assembly,0,2020-09-13,98.0,9,65.0,0.0,6,0
257,Assembly,0,2020-09-14,101.0,9,65.5,0.0,0,1
258,Assembly,0,2020-09-15,100.0,9,55.0,0.0,1,0
259,Assembly,0,2020-09-16,100.0,9,62.0,0.0,2,1
260,Assembly,0,2020-09-17,98.0,9,68.0,0.0,3,1
261,Assembly,0,2020-09-18,99.0,9,58.5,0.0,4,0
262,Assembly,0,2020-09-19,98.0,9,53.0,0.0,5,0
263,Assembly,0,2020-09-20,99.0,9,52.0,0.0,6,0
264,Assembly,0,2020-09-21,99.0,9,53.0,0.0,0,0
265,Assembly,0,2020-09-22,100.0,9,55.5,0.0,1,1
266,Assembly,0,2020-09-23,100.0,9,67.5,0.0,2,1
267,Assembly,0,2020-09-24,99.0,9,70.0,0.0,3,1
268,Assembly,0,2020-09-25,99.0,9,65.0,0.0,4,0
269,Assembly,0,2020-09-26,99.0,9,66.5,0.0,5,0
270,Assembly,0,2020-09-27,100.0,9,70.0,0.0,6,0
271,Assembly,0,2020-09-28,100.0,9,72.0,0.05,0,0
272,Assembly,0,2020-09-29,101.0,9,70.5,0.0,1,0
273,Assembly,0,2020-09-30,101.0,9,66.0,0.46,2,0
274,Assembly,0,2020-10-01,99.0,10,67.0,0.0,3,0
275,Assembly,0,2020-10-02,100.0,10,59.0,0.02,4,0
276,Assembly,0,2020-10-03,101.0,10,56.5,0.0,5,0
277,Assembly,0,2020-10-04,100.0,10,56.0,0.0,6,0
278,Assembly,0,2020-10-05,99.0,10,57.5,,0,0
279,Assembly,0,2020-10-06,99.0,10,60.0,0.0,1,1
280,Assembly,0,2020-10-07,100.0,10,65.0,0.02,2,0
281,Assembly,0,2020-10-08,98.0,10,55.5,0.0,3,0
282,Assembly,0,2020-10-09,100.0,10,51.0,0.0,4,0
283,Assembly,0,2020-10-10,107.0,10,66.0,0.0,5,0
284,Assembly,0,2020-10-11,101.0,10,59.0,0.0,6,1
285,Assembly,0,2020-10-12,99.0,10,52.0,0.0,0,0
286,Assembly,0,2020-10-13,101.0,10,54.5,1.5,1,0
287,Assembly,0,2020-10-14,100.0,10,60.5,0.0,2,0
288,Assembly,0,2020-10-15,99.0,10,60.0,0.0,3,0
289,Assembly,0,2020-10-16,100.0,10,60.5,0.77,4,1
290,Assembly,0,2020-10-17,98.0,10,50.0,1.16,5,0
291,Assembly,0,2020-10-18,98.5,10,49.0,0.0,6,0
292,Assembly,0,2020-10-19,99.0,10,51.0,0.0,0,1
293,Assembly,0,2020-10-20,100.0,10,58.0,0.0,1,0
294,Assembly,0,2020-10-21,99.0,10,60.5,0.06,2,1
295,Assembly,0,2020-10-22,99.0,10,60.5,0.0,3,1
296,Assembly,0,2020-10-23,99.0,10,58.5,0.0,4,1
297,Assembly,0,2020-10-24,101.0,10,58.0,0.0,5,1
298,Assembly,0,2020-10-25,99.0,10,46.5,0.0,6,0
299,Assembly,0,2020-10-26,98.0,10,50.5,0.01,0,0
300,Assembly,0,2020-10-27,100.0,10,49.0,0.0,1,0
301,Assembly,0,2020-10-28,99.0,10,47.5,0.27,2,0
302,Assembly,0,2020-10-29,102.0,10,46.0,0.91,3,1
303,Assembly,0,2020-10-30,100.0,10,37.0,0.26,4,0
304,Assembly,0,2020-10-31,101.0,10,35.0,0.0,5,1
305,Assembly,0,2020-11-01,98.0,11,43.5,0.62,6,0
306,Assembly,0,2020-11-02,113.0,11,38.5,0.0,0,0
307,Assembly,0,2020-11-03,99.0,11,37.5,0.0,1,1
308,Assembly,0,2020-11-04,99.0,11,43.5,0.0,2,0
309,Assembly,0,2020-11-05,99.0,11,59.5,0.0,3,1
310,Assembly,0,2020-11-06,98.0,11,63.5,0.0,4,0
311,Assembly,0,2020-11-07,,11,61.5,0.0,5,0
312,Assembly,0,2020-11-08,,11,59.5,0.0,6,0
313,Assembly,0,2020-11-09,101.0,11,53.5,0.0,0,0
314,Assembly,0,2020-11-10,102.0,11,61.5,0.0,1,0
315,Assembly,0,2020-11-11,101.0,11,64.5,0.01,2,0
316,Assembly,0,2020-11-12,101.0,11,56.5,0.0,3,0
317,Assembly,0,2020-11-13,101.0,11,44.5,0.22,4,0
318,Assembly,0,2020-11-14,,11,43.5,0.0,5,0
319,Assembly,0,2020-11-15,,11,45.5,0.34,6,0
320,Assembly,0,2020-11-16,98.0,11,47.5,0.05,0,1
321,Assembly,0,2020-11-17,100.0,11,41.5,0.0,1,0
322,Assembly,0,2020-11-18,100.0,11,29.0,0.0,2,0
323,Assembly,0,2020-11-19,101.0,11,34.0,0.0,3,0
324,Assembly,0,2020-11-20,99.0,11,54.5,0.0,4,0
325,Assembly,0,2020-11-21,,11,52.0,0.0,5,0
326,Assembly,0,2020-11-23,100.0,11,47.5,1.81,0,0
327,Assembly,0,2020-11-24,101.0,11,36.5,0.0,1,0
328,Assembly,0,2020-11-25,100.0,11,39.0,0.01,2,0
329,Assembly,0,2020-11-26,98.0,11,49.5,0.29,3,0
330,Assembly,0,2020-11-27,99.0,11,47.0,0.0,4,0
331,Assembly,0,2020-11-28,99.5,11,47.5,0.0,5,0
332,Assembly,0,2020-11-29,97.0,11,45.0,0.0,6,1
333,Assembly,0,2020-11-30,101.5,11,50.5,0.85,0,1
334,Assembly,0,2020-12-01,99.0,12,52.5,0.41,1,0
335,Assembly,0,2020-12-02,99.0,12,39.0,0.0,2,0
336,Assembly,0,2020-12-03,101.5,12,41.5,0.0,3,1
337,Assembly,0,2020-12-04,99.0,12,49.0,0.02,4,1
338,Assembly,0,2020-12-05,98.0,12,40.0,1.72,5,0
339,Assembly,0,2020-12-06,97.0,12,33.0,0.0,6,0
340,Assembly,0,2020-12-07,99.5,12,31.0,0.0,0,0
341,Assembly,0,2020-12-08,101.0,12,28.5,0.0,1,1
342,Assembly,0,2020-12-09,99.0,12,30.0,0.0,2,0
343,Assembly,0,2020-12-10,99.0,12,39.5,0.0,3,0
344,Assembly,0,2020-12-11,98.0,12,39.5,0.0,4,0
345,Assembly,0,2020-12-12,349.0,12,41.0,0.5,5,1
346,Assembly,0,2020-12-13,317.0,12,49.5,0.0,6,1
347,Assembly,0,2020-12-14,100.0,12,37.0,0.06,0,0
348,Assembly,0,2020-12-15,99.0,12,29.5,0.0,1,1
349,Assembly,0,2020-12-16,101.0,12,23.0,0.04,2,1
350,Assembly,0,2020-12-17,117.0,12,26.5,1.3,3,1
351,Assembly,0,2020-12-18,107.5,12,25.5,0.0,4,1
352,Assembly,0,2020-12-19,105.0,12,24.0,0.0,5,1
353,Assembly,0,2020-12-20,100.0,12,31.0,0.03,6,0
354,Assembly,0,2020-12-21,103.0,12,32.0,0.0,0,1
355,Assembly,0,2020-12-22,99.0,12,38.0,0.0,1,0
356,Assembly,0,2020-12-23,100.0,12,34.0,0.0,2,1
357,Assembly,0,2020-12-24,99.5,12,41.5,0.0,3,1
358,Assembly,0,2020-12-25,100.5,12,50.0,1.49,4,1
359,Assembly,0,2020-12-26,99.0,12,34.0,0.0,5,0
360,Assembly,0,2020-12-27,98.0,12,31.5,0.0,6,1
361,Assembly,0,2020-12-28,99.0,12,38.5,0.0,0,1
362,Assembly,0,2020-12-29,98.0,12,33.0,0.0,1,0
363,Assembly,0,2020-12-30,99.0,12,32.5,0.0,2,0
364,Assembly,0,2020-12-31,100.0,12,39.0,0.1,3,1
365,Assembly,1,2020-01-01,136.0,1,39.5,0.0,2,1
366,Assembly,1,2020-01-02,143.0,1,41.5,0.0,3,1
367,Assembly,1,2020-01-03,143.0,1,48.0,0.0,4,1
368,Assembly,1,2020-01-04,136.0,1,44.0,0.13,5,1
369,Assembly,1,2020-01-05,136.5,1,36.5,0.11,6,0
370,Assembly,1,2020-01-06,145.0,1,34.0,0.0,0,1
371,Assembly,1,2020-01-07,143.0,1,37.5,0.0,1,1
372,Assembly,1,2020-01-08,149.0,1,37.0,0.02,2,1
373,Assembly,1,2020-01-09,126.0,1,27.5,0.0,3,1
374,Assembly,1,2020-01-10,123.0,1,41.0,0.0,4,1
375,Assembly,1,2020-01-11,116.0,1,59.5,0.0,5,1
376,Assembly,1,2020-01-12,118.0,1,57.0,0.02,6,1
377,Assembly,1,2020-01-13,126.0,1,39.5,0.01,0,1
378,Assembly,1,2020-01-14,125.0,1,39.5,0.0,1,1
379,Assembly,1,2020-01-15,124.0,1,45.5,0.0,2,1
380,Assembly,1,2020-01-16,121.0,1,38.5,0.1,3,1
381,Assembly,1,2020-01-17,127.0,1,23.0,0.0,4,1
382,Assembly,1,2020-01-20,126.0,1,24.5,0.0,0,1
383,Assembly,1,2020-01-21,127.0,1,23.0,0.0,1,1
384,Assembly,1,2020-01-22,126.0,1,29.5,0.0,2,1
385,Assembly,1,2020-01-23,120.0,1,38.0,0.0,3,1
386,Assembly,1,2020-01-24,126.0,1,41.0,0.0,4,1
387,Assembly,1,2020-01-27,122.0,1,43.5,0.0,0,0
388,Assembly,1,2020-01-28,124.0,1,39.0,0.0,1,1
389,Assembly,1,2020-01-29,124.0,1,36.0,0.0,2,1
390,Assembly,1,2020-01-30,122.0,1,27.5,0.0,3,1
391,Assembly,1,2020-01-31,120.0,1,38.0,0.0,4,1
392,Assembly,1,2020-02-01,116.0,2,37.5,0.02,5,1
393,Assembly,1,2020-02-02,114.5,2,40.0,0.0,6,1
394,Assembly,1,2020-02-03,124.0,2,42.5,0.0,0,1
395,Assembly,1,2020-02-04,123.0,2,41.0,0.0,1,1
396,Assembly,1,2020-02-05,122.5,2,38.0,0.05,2,1
397,Assembly,1,2020-02-06,126.0,2,37.5,0.44,3,1
398,Assembly,1,2020-02-07,123.0,2,43.0,0.32,4,1
399,Assembly,1,2020-02-10,123.0,2,42.5,0.16,0,1
400,Assembly,1,2020-02-11,126.0,2,42.5,0.17,1,1
401,Assembly,1,2020-02-12,126.0,2,41.0,0.0,2,1
402,Assembly,1,2020-02-13,125.0,2,38.0,0.53,3,1
403,Assembly,1,2020-02-14,127.0,2,27.5,0.0,4,1
404,Assembly,1,2020-02-17,130.0,2,40.0,0.0,0,1
405,Assembly,1,2020-02-18,128.0,2,36.5,0.45,1,1
406,Assembly,1,2020-02-19,124.0,2,39.0,0.0,2,1
